source,N,events,reproduced_HR_per10,locked_HR_per10,absolute_difference,reproduction_status,model_formula,authoritative_script
POCT,409,49,0.758857245048575,0.758857245048576,5.55111512312578e-16,PASS,"Surv(t_lm_30,event_lm_30) ~ gv10 + rms::rcs(mean_glu, c(113.0000,129.7273,143.2308,187.0000)) + age_at_admission + gender + bmi + diabetes + charlson_without_diabetes + procedure_cat6 + lactate_postop_first + creat_postop_first + sofa_24h",locked_analysis_record/02_fit_source_models.R
central_laboratory,409,49,0.97089700615494,0.970897006154936,4.2188474935756e-15,PASS,"Surv(t_lm_30,event_lm_30) ~ gv10 + rms::rcs(mean_glu, c(113.0000,129.7273,143.2308,187.0000)) + age_at_admission + gender + bmi + diabetes + charlson_without_diabetes + procedure_cat6 + lactate_postop_first + creat_postop_first + sofa_24h",locked_analysis_record/02_fit_source_models.R
