database,analysis_context,variable_x,variable_y,N,pearson_r,spearman_rho,measurement_structure,analysis_status,interpretation_boundary,lineage_version
MIMIC-IV,MIMIC_primary_24h_day1_landmark,GV_SD,measurement_count,10561,0.150756603905342,0.175581679545729,final source-priority series; patient-level count,COMPLETED,descriptive correlation; not confounding or causation,JAHA_v5_final_lineage
MIMIC-IV,MIMIC_primary_24h_day1_landmark,GV_SD,measurement_span_hours,10561,0.124823193353568,0.137642033087486,final source-priority series; patient-level span,COMPLETED,descriptive correlation; not confounding or causation,JAHA_v5_final_lineage
MIMIC-IV,MIMIC_primary_24h_day1_landmark,GV_SD,mean_glucose,10561,0.547565193381572,0.532153275943728,final source-priority series; optional mean-glucose benchmark,COMPLETED,descriptive correlation; not confounding or causation,JAHA_v5_final_lineage
eICU-CRD,eICU_harmonized_M4,GV_SD,measurement_count,7115,0.176128524390564,0.217561619641258,preserved aggregate all-source feature; aggregate count,COMPLETED,descriptive correlation; not confounding or causation,JAHA_v5_final_lineage
eICU-CRD,eICU_harmonized_M4,GV_SD,measurement_span_hours,7115,0.138798350882519,0.150676909081864,preserved aggregate all-source feature; aggregate span,COMPLETED,descriptive correlation; not confounding or causation,JAHA_v5_final_lineage
eICU-CRD,eICU_harmonized_M4,GV_SD,mean_glucose,7115,0.484902436947876,0.38469799258389,preserved aggregate all-source feature; optional mean-glucose benchmark,COMPLETED,descriptive correlation; not confounding or causation,JAHA_v5_final_lineage
INSPIRE,INSPIRE_final_v5,GV_SD,NA,1353,NA,NA,final validated count/span fields retained for context table,NOT_RUN,No new INSPIRE sampling-process analysis added in Phase 2A; no unsupported extrapolation,JAHA_v5_final_lineage
