cohort_id,cohort_definition,N,variable,poct_mean,lab_mean,poct_sd,lab_sd,poct_median,lab_median,poct_iqr,lab_iqr,poct_iqr_q1,poct_iqr_q3,lab_iqr_q1,lab_iqr_q3,poct_q5,poct_q95,lab_q5,lab_q95,pearson_r,spearman_rho,mean_paired_difference,sd_paired_difference,median_paired_difference,paired_difference_iqr,paired_difference_iqr_q1,paired_difference_iqr_q3,loa_lower95,loa_upper95,difference_pair_mean_pearson_r,difference_pair_mean_spearman_rho,paired_difference_definition,analysis_status,lineage_version,source_file
PRIMARY_FINAL_TARGET,452 paired patients in final MIMIC target,452,GV_SD,28.6203320912451,34.6316899420812,22.104328482091,37.1199852954904,22.5051483956919,23.3345237791561,23.3664265592704,33.6886969201953,14.1900786845832,37.5565052438536,10.6066017177982,44.2952986379935,5.33865619795843,68.8347131750041,2.82842712474619,103.485077426651,0.4893123615556,0.326891480708901,-6.01135785083616,32.6116693285335,0,32.3075024951926,-19.1148199975967,13.1926824975959,-69.9302297347618,57.9075140330895,-0.527787324448683,-0.338029486792227,POCT - central-laboratory source value,COMPLETED,JAHA_v5_final_lineage,controlled_source_record/source_pair_values
SENSITIVITY_ALL_PAIRED,453 final source-paired candidates,453,GV_SD,28.6642924003053,34.602842632392,22.0996784525812,37.0839836531988,22.5455095307247,23.3345237791561,23.4390234809187,33.6313910033911,14.1903723230459,37.6293958039646,10.6066017177982,44.2379927211893,5.37401153701776,68.7637224385484,2.82842712474619,103.379011409473,0.488105663399934,0.32630625407368,-5.93855023208666,32.6124115013609,0,32.3226972056899,-19.0918830920367,13.2308141136532,-69.8588767747541,57.9817763105808,-0.526884784791464,-0.334361892032512,POCT - central-laboratory source value,COMPLETED,JAHA_v5_final_lineage,controlled_source_record/source_pair_values
PRIMARY_FINAL_TARGET,452 paired patients in final MIMIC target,452,MEAN_GLUCOSE,151.093428204409,155.150737463127,52.0657957170574,62.458478107509,138,138,45.2250000000003,55.2083333333337,120.575,165.8,116.333333333333,171.541666666667,96.05,253.433333333333,99,284.6,0.805144425245895,0.684610679208374,-4.05730925871803,37.0854305754373,-0.0625,35.4166666666665,-19.8333333333333,15.5833333333333,-76.7447531865752,68.6301346691392,-0.294842720579992,-0.18478779462587,POCT - central-laboratory source value,COMPLETED,JAHA_v5_final_lineage,controlled_source_record/source_pair_values
SENSITIVITY_ALL_PAIRED,453 final source-paired candidates,453,MEAN_GLUCOSE,151.2218091576,155.385504047093,52.079898525935,62.589121048083,138,138,45.6,55.333333333334,120.6,166.2,116.333333333333,171.666666666667,96.1,253.2,99,284.533333333333,0.805657746842837,0.686444216540209,-4.16369488949348,37.1135205435756,-0.125,35.666666666667,-20.166666666667,15.5,-76.9061951549016,68.5788053759146,-0.297878732360891,-0.189188319579526,POCT - central-laboratory source value,COMPLETED,JAHA_v5_final_lineage,controlled_source_record/source_pair_values
