cohort_id,cohort_definition,N,positive_pairs_excluded,mean_log_ratio,median_log_ratio,geometric_mean_ratio,sd_log_ratio,log_loa_lower95,log_loa_upper95,ratio_loa_lower95,ratio_loa_upper95,log_ratio_pair_mean_pearson_r,log_ratio_pair_mean_spearman_rho,log_scale_definition,analysis_status,interpretation_boundary,lineage_version,source_file
PRIMARY_FINAL_TARGET,452 paired patients in final MIMIC target,447,5,0.0303143952158108,-0.0011579016692882,1.03077855486175,1.16037647573238,-2.24402349721965,2.30465228765127,0.106031029431689,10.0206933277715,-0.319783329258018,-0.332448971982834,"log(POCT GV / central-laboratory GV); pair mean = mean(log POCT GV, log laboratory GV)",COMPLETED,multiplicative-scale descriptive agreement; original-scale Bland-Altman remains primary,JAHA_v5_final_lineage,locked_analysis_record/data/samepatient_poct_lab.csv
SENSITIVITY_ALL_PAIRED,453 final source-paired candidates,448,5,0.0320575620458199,-0.000578950834644099,1.03257694083567,1.15966487694844,-2.24088559677312,2.30500072086476,0.106364266805708,10.0241854785044,-0.318715847608839,-0.330933709813602,"log(POCT GV / central-laboratory GV); pair mean = mean(log POCT GV, log laboratory GV)",COMPLETED,multiplicative-scale descriptive agreement; original-scale Bland-Altman remains primary,JAHA_v5_final_lineage,locked_analysis_record/data/samepatient_poct_lab.csv
