database,comparison,effect_type,specification_before,specification_after,effect_before,lower95_before,upper95_before,effect_after,lower95_after,upper95_after,delta_log_effect,null_crossing,N_before,events_before,N_after,events_after,source_before,source_after,verification_status,interpretation_boundary,lineage_version
MIMIC-IV,Model B -> Model C,HR,MIMIC Model B,MIMIC Model C,0.979380602603274,0.922463143248402,1.03980996072952,1.02857335963722,0.967085280657172,1.09397090134231,0.0490076996877712,TRUE,10561,296,10561,296,locked_analysis_record/results/mice_pooled_models.csv,locked_analysis_record/results/mice_pooled_models.csv,LOCKED_RESULT_VERIFIED,sampling-process specification shift; not confounding attenuation,JAHA_v5_final_lineage
eICU-CRD,M3 -> M4,RR,eICU M3,eICU M4,1.15774790083148,1.0245783161834,1.30822620458402,1.13279595096984,0.990175899305203,1.29595829128348,-0.0217877836369602,FALSE,7115,130,7115,130,controlled_final_lineage/data/controlled_local_only/MIMIC_eICU_derived/results/10_cross_database_results.csv,controlled_final_lineage/data/controlled_local_only/MIMIC_eICU_derived/results/10_cross_database_results.csv,LOCKED_RESULT_VERIFIED,sampling-process specification shift; not confounding attenuation,JAHA_v5_final_lineage
INSPIRE,I2 -> I3,HR,INSPIRE I2,INSPIRE I3,0.904554212678046,0.652561595227856,1.25385607988147,0.928498765858282,0.672393948065706,1.2821500857948,0.0261268119489033,FALSE,1353,27,1353,27,controlled_final_lineage/results/final_v5_INSPIRE/30d_primary_results_v5.csv,controlled_final_lineage/results/final_v5_INSPIRE/30d_primary_results_v5.csv,LOCKED_RESULT_VERIFIED,sampling-process specification shift; not confounding attenuation,JAHA_v5_final_lineage
