"analysis_id","analysis_family","source","outcome","model","N","events","effect_type","estimate","lower95","upper95","p_value","lambda","bootstrap_lower95","bootstrap_upper95","fit_status","estimate_origin"
"ANAESTHESIA_SENS1_PARSIMONIOUS_POCT_30D","parsimonious same-patient Cox","POCT","30-day all-cause mortality","linear GV + linear mean glucose + age + sex + diabetes + procedure category",409,49,"HR per 10 mg.dl^-1 GV",0.822152630763152,0.705051451346767,0.958703009517421,0.0124925251168229,,,,"PASS","new_sensitivity_results.csv:parsimonious_cox"
"ANAESTHESIA_SENS1_PARSIMONIOUS_LAB_30D","parsimonious same-patient Cox","laboratory","30-day all-cause mortality","linear GV + linear mean glucose + age + sex + diabetes + procedure category",409,49,"HR per 10 mg.dl^-1 GV",0.988367734768335,0.930534757624372,1.04979504647952,0.703696658783576,,,,"PASS","new_sensitivity_results.csv:parsimonious_cox"
"ANAESTHESIA_SENS1_PARSIMONIOUS_DELTA_BETA_30D","parsimonious same-patient Cox","POCT minus laboratory","30-day all-cause mortality","paired coefficient contrast",409,49,"paired log-HR difference",-0.184128769667725,-0.453955525595829,-0.0309651615004273,,,-0.453955525595829,-0.0309651615004273,"PASS","new_sensitivity_paired_bootstrap.csv:parsimonious_cox"
"ANAESTHESIA_SENS2_RIDGE_POCT_30D","ridge same-patient Cox","POCT","30-day all-cause mortality","locked Model B clinical frame; ridge alpha=0; lambda.1se",409,49,"ridge HR per 10 mg.dl^-1 GV",0.998874653470197,0.988808351432284,1.01015516256581,,1.512076203032,0.988808351432284,1.01015516256581,"PASS","new_sensitivity_paired_bootstrap.csv:ridge_cox"
"ANAESTHESIA_SENS2_RIDGE_LAB_30D","ridge same-patient Cox","laboratory","30-day all-cause mortality","locked Model B clinical frame; ridge alpha=0; lambda.1se",409,49,"ridge HR per 10 mg.dl^-1 GV",1.00681442297966,1.0015651471759,1.01164589332115,,2.1937636706377,1.0015651471759,1.01164589332115,"PASS","new_sensitivity_paired_bootstrap.csv:ridge_cox"
"ANAESTHESIA_SENS2_RIDGE_DELTA_BETA_30D","ridge same-patient Cox","POCT minus laboratory","30-day all-cause mortality","paired ridge coefficient contrast; full-cohort lambdas fixed",409,49,"paired log-HR difference",-0.00791728994988836,-0.0176440005785548,0.00203012229498614,,,-0.0176440005785548,0.00203012229498614,"PASS","new_sensitivity_paired_bootstrap.csv:ridge_cox"
"ANAESTHESIA_SENS3_MIMIC_GE3_MODEL_B_30D","MIMIC >=3 retained measurements","priority series","30-day all-cause mortality","MICE Model B; m=50; pmm; Rubin pooling",10398,272,"HR per 0.555 mmol.l^-1 (10 mg.dl^-1) GV",0.973942028508388,0.913936897022643,1.03788683659145,0.415757843615902,,,,"PASS","new_sensitivity_mimic_ge3_mice.csv:Model_B_30d"
